notable_name,point_cost,value_tier,example_build_use,notes
"Pure Might",2,high,"Strength stacker","+Strength, common high-value roll"
"Pure Dexterity",2,high,"Dex stacker","+Dexterity, common high-value roll"
"Pure Intelligence",2,high,"Int stacker","+Intelligence, common high-value roll"
"Arcane Potency",2,high,"Crit caster","Critical chance/multiplier notable"
"Lightning Damage",2,high,"Lightning build","Generic damage notable"
"Fire Damage",2,high,"Fire build","Generic damage notable"
"Cold Damage",2,high,"Cold build","Generic damage notable"
"Elemental Resistance",1,medium,"Defensive","Cheap resistance notable"
"Mental Fortitude",2,medium,"ES build","ES-related notable"
"Blood Drinker",2,medium,"Life leech","Leech notable"
"Quick Recovery",1,medium,"Regen","Regeneration notable"
"Amplified",2,high,"Aura build","Aura effect notable"
"Spirit of the North",2,medium,"Elemental","Elemental notable"
"Capstone: Endurance",3,high,"Tank","Expensive capstone notable, huge value"
"Capstone: Power",3,high,"Caster","Expensive capstone notable"
"Capstone: Frenzy",3,high,"Attack","Expensive capstone notable"
"Minor Life",1,low,"Filler","Small life, low priority"
"Minor Mana",1,low,"Filler","Small mana, low priority"
"Minor Evasion",1,low,"Filler","Small evasion, low priority"
