roll_pct,base_magnitude,multiplier,effective_magnitude,notes
50,10,1.5,15,"Low roll; still a 50% boost to the jewel's granted passives"
75,10,1.75,17.5,"Budget-tier roll"
100,10,2.0,20,"Double the base magnitude"
125,10,2.25,22.5,"High roll"
150,10,2.5,25,"Max roll; 2.5x base magnitude"
50,20,1.5,30,"Larger base jewel mod scaled at 50%"
100,20,2.0,40,"Larger base jewel mod at 100% roll"
150,20,2.5,50,"Larger base jewel mod at max roll"
50,30,1.5,45,"Triple-mod magic jewel example at 50%"
100,30,2.0,60,"Triple-mod magic jewel example at 100%"
150,30,2.5,75,"Triple-mod magic jewel example at max roll"
