Magic item	Büyülü eşya
Perfect	Mükemmel
Check tooltip	İpucu kutusunu kontrol et
Pinnacle	Zirve
Implicit	Örtük
Item Level	Eşya Seviyesi
Spirit reservation	Ruh rezervasyonu
Ascendancy reset	Yükseliş sıfırlama
Action	Eylem
Valid targets	Geçerli hedefler
Trade	Ticaret
Enter the apply state.	Uygulama durumuna gir.
Open valid targets	Geçerli hedefleri aç
Sell it	Sat
Target	Hedef
Prices below reflect the Early Access 0.5.4 league on the PC trade site as of early August 2026 and move constantly with supply and demand.	Aşağıdaki fiyatlar, Ağustos 2026 başları itibarıyla PC ticaret sitesindeki Erken Erişim 0.5.4 ligini yansıtır ve arz-talep ile sürekli değişir.
Consumed on use	Kullanımda tüketilir
Usage steps	Kullanım adımları
Ascendancy Points & Trials Guide	Yükseliş Puanları ve Denemeler Rehberi
Family overview: Diamond Unique Jewels	Aile genel bakışı: Elmas Benzersiz Mücevherler
Equip once your character reaches level 20.	Karakteriniz 20. seviyeye ulaştığında kuşan.
Scenario	Senaryo
Currency Exchange / trade	Para Birimi Takası / ticaret
Use it if	Şu durumda kullan:
Use, sell, or hold	Kullan, sat veya tut
Fits any allocated normal Jewel Socket	Tahsis edilmiş herhangi bir normal Mücevher Yuvasına uyar
Trade search steps	Ticaret arama adımları
Usable	Kullanılabilir
Save & continue	Kaydet ve devam et
Stabilisation	Stabilizasyon
League mechanics	Lig mekanikleri
Lightning Spear Amazon build	Yıldırım Mızrağı Amazon yapısı
Launch class system	Başlangıç sınıf sistemi
Early Atlas progression guide	Erken Atlas ilerleme rehberi
Atlas progression guide	Atlas ilerleme rehberi
Console Gateway	Konsol Geçidi
Trigger Gem Energy	Tetikleme Cevheri Enerjisi
Build commitment	Yapı taahhüdü
Re-verify against 0.5.4e.	0.5.4e karşı tekrar doğrula.
Historical context	Tarihsel bağlam
Current route	Mevcut rota
Major update	Büyük güncelleme
Campaign guide	Kampanya rehberi
Bear Shaman Druid build	Ayı Şaman Druid yapısı
Feature Patch	Özellik Yaması
Balance Patch	Denge Yaması
Current client value	Mevcut istemci değeri
Scales with level and combo	Seviye ve kombo ile ölçeklenir
Overview and build identity	Genel bakış ve yapı kimliği
Typical role	Tipik rol
Clear gameplay	Net oynanış
Requirements and Setup	Gereksinimler ve Kurulum
Boss single-target handling	Boss tek hedef işleme
Persistent Buff	Kalıcı Takviye
Bossing Value	Boss Değeri
See claim flow →	Talep akışını gör →
Downstream Act 2 boss.	2. Perde sonrası boss.
Patch note	Yama notu
If stuck	Takılırsan
Start the fight	Dövüşü başlat
Interlude finale	Ara finali
Interlude quest	Ara görev
Phase 1 — Opening (100%–~50%)	Aşama 1 — Açılış (100%–~50%)
Phase 2 — Time Stop (~50%–0%)	Aşama 2 — Zaman Durması (~50%–0%)
Armour/evasion, endurance charges.	Zırh/kaçınma, dayanıklılık yükleri.
Chance for Interlude-tier gear and skill gems.	Ara seviyesi ekipman ve beceri cevherleri için şans.
Act 4 final boss with three forms.	4. Perde final boss'u, üç formla.
Phase 1 — Continuous Fight	Aşama 1 — Sürekli Dövüş
Location	Konum
Activate checkpoint	Kontrol noktasını etkinleştir
Required for story?	Hikaye için gerekli mi?
No (optional)	Hayır (isteğe bağlı)
A dash or roll ready.	Hazır bir atılma veya yuvarlanma.
Movement skill or flask of speed.	Hareket becerisi veya hız iksiri.
Fire Resistance	Ateş Direnci
Phase 1 — Brute (100%–75%)	Aşama 1 — Vahşi (100%–75%)
Phase 2 — Shockwave & Hellfire (75%–0%)	Aşama 2 — Şok Dalgası ve Cehennem Ateşi (75%–0%)
Before the fight	Dövüş öncesi
During the fight	Dövüş sırasında
Level 50+ (Act 4)	Seviye 50+ (4. Perde)
Phase 1 — Water & Gaze (100%–~50%)	Aşama 1 — Su ve Bakış (100%–~50%)
Phase 2 — Dive (~50%–0%)	Aşama 2 — Dalış (~50%–0%)
Burst windows	Patlama pencereleri
Act 4 route	4. Perde rotası
Why it matters	Neden önemli
Optional	İsteğe bağlı
Phase 1 — Flight & Flame (100%–~50%)	Aşama 1 — Uçuş ve Alev (100%–~50%)
Phase 2 — Beam (~50%–0%)	Aşama 2 — Işın (~50%–0%)
Burst	Patlama
Attack table →	Saldırı tablosu →
Phase 1 — Human Form (100%-~30%)	Aşama 1 — İnsan Formu (100%-~30%)
Phase 2 — Wildwood / Treant Form (~30%-0%)	Aşama 2 — Vahşi Orman / Treant Formu (~30%-0%)
An Audience with the King	Kral ile Görüşme
Retries	Yeniden denemeler
Phase 1 — Vapours & Maze (100%–~40%)	Aşama 1 — Buharlar ve Labirent (100%–~40%)
Phase 2 — Chaos Finale (~40%–0%)	Aşama 2 — Kaos Finali (~40%–0%)
Shield	Kalkan
Spawn	Belirme
One-time	Tek seferlik
Backpack space	Sırt çantası alanı
One-time; shown in the Weapon Set node.	Tek seferlik; Silah Seti düğümünde gösterilir.
Allocated in the Weapon Set node, not the normal pool.	Normal havuz yerine Silah Seti düğümüne tahsis edilir.
Weapon Set guide	Silah Seti rehberi
Level 79+	Seviye 79+
Failure Cost & Retry	Başarısızlık Maliyeti ve Yeniden Deneme
Phase 1 — Cold Warrior (100%–0% first)	Aşama 1 — Soğuk Savaşçı (100%–0% ilk)
Phase 2 — Starfire (revived ~70%)	Aşama 2 — Yıldız Ateşi (yeniden canlanan ~70%)
Dodge	Kaçınma
Charge	Yük
Entry	Giriş
Phase 1 — Both Alive (100%–kill)	Aşama 1 — İkisi de Canlı (100%–ölüm)
Phase 2 — Survivor (~varies)	Aşama 2 — Hayatta Kalan (~değişken)
Standing in the line	Çizgide durmak
Phase 1 — Continuous Chase (3 Arenas)	Aşama 1 — Sürekli Kovalamaca (3 Arena)
Phase 1 — Full Arena (100%–~50%)	Aşama 1 — Tam Arena (100%–~50%)
Phase 2 — Constriction (~50%–0%)	Aşama 2 — Sıkışma (~50%–0%)
Phase 1 — Opening (100%–60%)	Aşama 1 — Açılış (100%–60%)
