Fire resistance 75%	Ateş direnci %75
Initial publication with overview, strategy and verification sections.	Genel bakış, strateji ve doğrulama bölümleriyle ilk yayın.
What does failure cost?	Başarısızlık neye mal olur?
Can I retry?	Yeniden deneyebilir miyim?
What does failure cost, and can I retry?	Başarısızlık neye mal olur ve yeniden deneyebilir miyim?
Attempt cost	Deneme maliyeti
First completion per league	Lig başına ilk tamamlama
Group size	Grup boyutu
Solo or up to 5	Tek başına veya en fazla 5
Phase 1 — Human Form	Aşama 1 — İnsan Formu
Phase 2 — Mirror Split	Aşama 2 — Ayna Bölünmesi
Phase 3 — Enrage and Meteor Rain	Aşama 3 — Öfke ve Göktaşı Yağmuru
Level 25–28	Seviye 25–28
Where is he?	Nerede?
Branch off the Act 2 main path.	2. Perde ana yolundan ayrıl.
Defeat Azarian	Azarian'ı yen
The quest did not advance after the kill.	Görev, öldürdükten sonra ilerlemedi.
Confirm the objective updates.	Hedefin güncellendiğini doğrula.
Upstream Act 2 gate boss.	2. Perde giriş kapısı boss'u.
Slash Combo	Yarma Kombinasyonu
Movement speed and a dodge.	Hareket hızı ve bir kaçınma.
Did the arena update?	Arena güncellendi mi?
Interlude 3 final duo with a healing link.	İyileştirme bağlantılı 3. Ara final ikilisi.
Why fight	Neden dövüş
Permanent reward	Kalıcı ödül
Permanent	Kalıcı
Path	Yol
How to enter	Nasıl girilir
Rewards	Ödüller
Access item	Erişim eşyası
Movement-speed suffixes or a movement skill.	Hareket hızı sonekleri veya bir hareket becerisi.
Chaos res capped?	Kaos direnci doldu mu?
Wave context	Dalga bağlamı
Priority system	Öncelik sistemi
Scaling	Ölçekleme
Wave Context	Dalga Bağlamı
Boss + Add Priority System	Boss + Yan Hedef Öncelik Sistemi
Wave clear	Dalga temizleme
Timer	Zamanlayıcı
Phase 1 — Timed Molten Fight	Aşama 1 — Zamanlı Erimiş Dövüş
Phase 1 — Timed Molten Fight (mechanic)	Aşama 1 — Zamanlı Erimiş Dövüş (mekanik)
Phase 1 — Timed Molten Fight (mid-fight)	Aşama 1 — Zamanlı Erimiş Dövüş (dövüş ortası)
Phase 1 — Timed Molten Fight (enrage)	Aşama 1 — Zamanlı Erimiş Dövüş (öfke)
Phase 1 — Continuous Fight (mechanic)	Aşama 1 — Sürekli Dövüş (mekanik)
Phase 1 — Continuous Fight (mid-fight)	Aşama 1 — Sürekli Dövüş (dövüş ortası)
Phase 1 — Continuous Fight (enrage)	Aşama 1 — Sürekli Dövüş (öfke)
Fire damage	Ateş hasarı
Cold, plus some Physical	Soğuk, biraz da Fiziksel
Some Cold Resistance if available.	Mevcutsa biraz Soğuk Direnci.
Cold Resist ring/charm.	Soğuk Direnç yüzüğü/tılsımı.
Standard Act 1 campaign loot.	Standart 1. Perde kampanya ganimeti.
Consumed from inventory?	Envanterden tüketildi mi?
Movement skill ready.	Hareket becerisi hazır.
Wave-Scaled Encounter	Dalga Ölçekli Karşılaşma
Demon Beam	Şeytan Işını
Standing in the beam line.	Işın hattında durmak.
Encounter completion	Karşılaşma tamamlama
If no points	Puan yoksa
Pick up AND right-click the Book	Kitabı al VE sağ tıkla
Use the Book	Kitabı kullan
Arena	Arena
Act 3 optional boss with a permanent fire-res reward.	3. Perde isteğe bağlı boss'u, kalıcı ateş direnci ödülüyle.
Act 1 optional boss granting +30 Spirit via the Gembloom Skull.	1. Perde isteğe bağlı boss'u, Gembloom Kafatası ile +30 Ruh verir.
One-time; shown as a permanent character bonus.	Tek seferlik; kalıcı bir karakter bonusu olarak gösterilir.
+10% Cold Resistance	+10% Soğuk Direnci
Permanent boosts overview	Kalıcı takviyeler genel bakışı
The Vaal Pyramid is an endgame map that appears as a pinnacle destination at 50+ Atlas completion, entered from the Atlas.	Vaal Piramidi, 50+ Atlas tamamlamada zirve hedefi olarak görünen ve Atlas'tan girilen bir endgame haritasıdır.
Abyss pinnacle with a revival gauntlet.	Yeniden canlanma gauntlet'i içeren Abyss zirvesi.
Level 80+	Seviye 80+
Physical + Chaos	Fiziksel + Kaos
Simulacrum guide	Benzesim rehberi
Simulacrum / Delirium loot	Benzesim / Delirium ganimeti
Contributes to Simulacrum reward pool and Delirium splinter progress.	Benzesim ödül havuzuna ve Delirium parçacığı ilerlemesine katkı sağlar.
Delirium Progression	Delirium İlerlemesi
Counts toward Atlas Delirium progression and related unlocks.	Atlas Delirium ilerlemesi ve ilgili kilitlemeler için sayılır.
Ritual pinnacle with chaos and a Wisp Maze.	Kaos ve bir Wisp Labirenti içeren Ritual zirvesi.
+40 Spirit	+40 Ruh
+2 Weapon Set Passive Points (one-time)	+2 Silah Seti Pasif Puanı (tek seferlik)
