Player reports are experience, not verified mechanics. Confirm exact scaling against the in-game tooltip.	Oyuncu raporları deneyimdir, doğrulanmış mekanikler değildir. Tam ölçeklemeyi oyun içi ipucu kutusuna karşı doğrula.
Mapping demo	Haritalama demosu
Boss demo	Boss demosu
Community Creator	Topluluk Oluşturu-cu
Single creator guide cross-referenced with official ascendancy data and build-statistics tool. Source-reviewed status pending a second independent creator confirmation and in-client verification.	Tek oluşturucu rehberi, resmi yükseliş verileri ve yapı-istatistik aracıyla çapraz referanslandı. Kaynak-incelenmiş durum, ikinci bağımsız oluşturucu onayı ve istemci içi doğrulama beklemededir.
Keep; part of the area architecture.	Tut; alan mimarisinin bir parçası.
Crit window never comes	Eleştiri penceresi hiç gelmiyor
Amazon buff nodes taken?	Amazon takviye düğümleri alındı mı?
Gem Quality	Cevher Kalitesi
Core scaling	Temel ölçekleme
Reload Speed	Yeniden Yükleme Hızı
Low damage	Düşük hasar
Factor	Faktör
Boss DPS	Boss DPS
Respec Guide	Yeniden Dağıtım Rehberi
Boots	Çizmeler
Needs enough crit and Mana.	Yeterli eleştiri ve Mana gerektirir.
Is the staff still a tier-appropriate base?	Asa hâlâ uygun tier'da bir temel mi?
Are resistances and life solved (i.e. staff is the real bottleneck)?	Dirençler ve can çözüldü mü (yani asa gerçek darboğaz mı)?
Swap the under-tier staff before touching jewelry.	Mücevhere dokunmadan önce düşük tier asayı değiştir.
Relying only on kill-regen?	Yalnızca öldürme-yenilenmesine mi güveniyorsun?
Are Mana Remnants / leech / flasks active in bossing?	Mana Kalıntıları / sızma / iksirler boss dövüşünde aktif mi?
Is Forced Outcome taken?	Zorunlu Sonuç alındı mı?
Is Cast on Critical crit sufficient?	Kritikte Büyü eleştirisi yeterli mi?
Does Mana support continuous trigger?	Mana sürekli tetiklemeyi destekliyor mu?
Reactively upgrade the staff when clear slows.	Temizlik yavaşladığında asayı tepkisel olarak yükselt.
Is the staff still a tier base?	Asa hâlâ bir tier temeli mi?
Mana management	Mana yönetimi
65+	65+
Clear	Temizlik
Poison	Zehir
Weapon physical DPS	Silah fiziksel DPS
Poison magnitude	Zehir büyüklüğü
Added chaos	Eklenen kaos
Conditional	Koşullu
Poison base	Zehir temeli
Mana problems	Mana sorunları
Armor/block sufficient?	Zırh/blok yeterli mi?
Is the wall raised in attack gaps?	Duvar saldırı boşluklarında kaldırıldı mı?
Only after survival and cap are stable.	Yalnızca hayatta kalma ve tavan kararlı olduğunda.
Minion skill level	Yançı beceri seviyesi
Only stacking damage, ignoring sentry survival?	Yalnızca hasar yığıyor, gözcü hayatta kalmasını mı yok sayıyorsun?
Faster trigger rhythm.	Daha hızlı tetikleme ritmi.
Prerequisite for CoC.	CoC için ön koşul.
Crit enough?	Eleştiri yeterli mi?
Cast speed at threshold?	Eşikte büyü hızı?
Low-Mana death	Düşük Mana ölümü
MoM/ES active?	MoM/ES aktif mi?
Mana pool enough?	Mana havuzu yeterli mi?
Staff tier base?	Asa tier temeli?
Crit Chance	Eleştiri Şansı
Life / Resistances	Can / Dirençler
1 — Crit Base	1 — Eleştiri Temeli
Key unique	Anahtar benzersiz
Dexterity	Çeviklik
Belt	Kemer
Boss demonstration	Boss gösterimi
Block Chance	Blok Şansı
Survive the melee you stand in.	İçinde durduğun yakın dövüşü atlat.
Clear feels slow on packs	Paketlerde temizlik yavaş hissettiriyor
Pasteable import string / .build pending PC verification.	Yapıştırılabilir içe aktarma dizesi / .build, PC doğrulaması beklemededir.
How to get	Nasıl alınır
Use at the gate	Kapıda kullan
What it is	Nedir
Stable structure; exact curve coefficients version-sensitive	Kararlı yapı; tam eğri katsayıları sürüme duyarlıdır.
Common misreads	Yaygın yanlış okumalar
Common player questions	Yaygın oyuncu soruları
Ailment	Rahatsızlık
Staunching	Durdurma
Antidote	Panzehir
Dousing	Söndürme
Chill	Soğutma
Sapphire	Safir
Thawing	Çözülme
Stun	Sersemleme
Stone	Taş
How do I get Runic Ward?	Runic Ward nasıl alınır?
Best for	En iyi
Pure Armour	Saf Zırh
Pure Energy Shield	Saf Enerji Kalkanı
Energy Shield only	Yalnızca Enerji Kalkanı
Evasion gear	Kaçınma ekipmanı
General fix	Genel düzeltme
Clear 7 rooms	7 odayı temizle
Honour drains too fast	Onur çok hızlı tükeniyor
Campaign completed and the Atlas map screen unlocked	Kampanya tamamlandı ve Atlas harita ekranı kilidi açıldı
4 points in Doryani	Doryani'de 4 puan
Timing	Zamanlama
Complete Path of Exile 2 Twister Spirit Walker build guide on the 0.5.4 baseline.	Path of Exile 2 Twister Spirit Walker yapı rehberinin 0.5.4 temeli üzerinde tamamı.
Complete guide for a Path of Exile 2 Whirling Assault Martial Artist build on the 0.5.4 baseline.	Path of Exile 2 Whirling Assault Martial Artist yapısı için 0.5.4 temeli üzerinde rehberin tamamı.
Flat physical staff, physical supports	Düz fiziksel asa, fiziksel destekler
Community build concept, planner and gameplay	Topluluk yapı konsepti, planlayıcı ve oynanış
PoB2 export for the community build concept	Topluluk yapı konsepti için PoB2 dışa aktarımı
Community question about missing Whirling Assault transition steps	Eksik Whirling Assault geçiş adımları hakkında topluluk sorusu
Source-video summary	Kaynak-video özeti
Updated Twister Spirit Walker endgame discussion	Güncellenmiş Twister Spirit Walker endgame tartışması
Current 0.5 guide by Peuget2 used as the primary independent cross-check.	Peuget2 tarafından hazırlanan güncel 0.5 rehberi, birincil bağımsız çapraz kontrol olarak kullanıldı.
Only verified build-specific modifiers.	Yalnızca doğrulanmış yapıya özgü değiştiriciler.
